version,term_localName
http://rs.rebipp.org.br/ppicv/values/version/fs-2021-12-03,fs
http://rs.rebipp.org.br/ppicv/values/version/fs001-2021-12-03,fs001
http://rs.rebipp.org.br/ppicv/values/version/fs002-2021-12-03,fs002
http://rs.rebipp.org.br/ppicv/values/version/fs003-2021-12-03,fs003
http://rs.rebipp.org.br/ppicv/values/version/fs004-2021-12-03,fs004
http://rs.rebipp.org.br/ppicv/values/version/fs005-2021-12-03,fs005
http://rs.rebipp.org.br/ppicv/values/version/fs007-2021-12-03,fs007
http://rs.rebipp.org.br/ppicv/values/version/fo-2021-12-03,fo
http://rs.rebipp.org.br/ppicv/values/version/fo001-2021-12-03,fo001
http://rs.rebipp.org.br/ppicv/values/version/fo002-2021-12-03,fo002
http://rs.rebipp.org.br/ppicv/values/version/fo003-2021-12-03,fo003
http://rs.rebipp.org.br/ppicv/values/version/adt-2021-12-03,adt
http://rs.rebipp.org.br/ppicv/values/version/adt001-2021-12-03,adt001
http://rs.rebipp.org.br/ppicv/values/version/adt002-2021-12-03,adt002
http://rs.rebipp.org.br/ppicv/values/version/adt003-2021-12-03,adt003
http://rs.rebipp.org.br/ppicv/values/version/adt004-2021-12-03,adt004
http://rs.rebipp.org.br/ppicv/values/version/aeo-2021-12-03,aeo
http://rs.rebipp.org.br/ppicv/values/version/aeo001-2021-12-03,aeo001
http://rs.rebipp.org.br/ppicv/values/version/aeo002-2021-12-03,aeo002
http://rs.rebipp.org.br/ppicv/values/version/asf-2021-12-03,asf
http://rs.rebipp.org.br/ppicv/values/version/asf001-2021-12-03,asf001
http://rs.rebipp.org.br/ppicv/values/version/asd002-2021-12-03,asd002
http://rs.rebipp.org.br/ppicv/values/version/asr-2021-12-03,asr
http://rs.rebipp.org.br/ppicv/values/version/asr001-2021-12-03,asr001
http://rs.rebipp.org.br/ppicv/values/version/asr002-2021-12-03,asr002
http://rs.rebipp.org.br/ppicv/values/version/ms-2021-12-03,ms
http://rs.rebipp.org.br/ppicv/values/version/ms001-2021-12-03,ms001
http://rs.rebipp.org.br/ppicv/values/version/ms002-2021-12-03,ms002
http://rs.rebipp.org.br/ppicv/values/version/ms003-2021-12-03,ms003
http://rs.rebipp.org.br/ppicv/values/version/ss-2021-12-03,ss
http://rs.rebipp.org.br/ppicv/values/version/ss001-2021-12-03,ss001
http://rs.rebipp.org.br/ppicv/values/version/ss002-2021-12-03,ss002
http://rs.rebipp.org.br/ppicv/values/version/ss003-2021-12-03,ss003
http://rs.rebipp.org.br/ppicv/values/version/ss004-2021-12-03,ss004
http://rs.rebipp.org.br/ppicv/values/version/ss005-2021-12-03,ss005
http://rs.rebipp.org.br/ppicv/values/version/ss006-2021-12-03,ss006
http://rs.rebipp.org.br/ppicv/values/version/ss007-2021-12-03,ss007
http://rs.rebipp.org.br/ppicv/values/version/ss008-2021-12-03,ss008
http://rs.rebipp.org.br/ppicv/values/version/fa-2021-12-03,fa
http://rs.rebipp.org.br/ppicv/values/version/fa001-2021-12-03,fa001
http://rs.rebipp.org.br/ppicv/values/version/fa002-2021-12-03,fa002
http://rs.rebipp.org.br/ppicv/values/version/fa003-2021-12-03,fa003
http://rs.rebipp.org.br/ppicv/values/version/fa004-2021-12-03,fa004
http://rs.rebipp.org.br/ppicv/values/version/fsy-2021-12-03,fsy
http://rs.rebipp.org.br/ppicv/values/version/fsy001-2021-12-03,fsy001
http://rs.rebipp.org.br/ppicv/values/version/fsy002-2021-12-03,fsy002
http://rs.rebipp.org.br/ppicv/values/version/fsy003-2021-12-03,fsy003
http://rs.rebipp.org.br/ppicv/values/version/fsy004-2021-12-03,fsy004
http://rs.rebipp.org.br/ppicv/values/version/fsy005-2021-12-03,fsy005
http://rs.rebipp.org.br/ppicv/values/version/fsy006-2021-12-03,fsy006
http://rs.rebipp.org.br/ppicv/values/version/fsy007-2021-12-03,fsy007
http://rs.rebipp.org.br/ppicv/values/version/fsy008-2021-12-03,fsy008
http://rs.rebipp.org.br/ppicv/values/version/fsy009-2021-12-03,fsy009
http://rs.rebipp.org.br/ppicv/values/version/fsy010-2021-12-03,fsy010
http://rs.rebipp.org.br/ppicv/values/version/fsy011-2021-12-03,fsy011
http://rs.rebipp.org.br/ppicv/values/version/si-2021-12-03,si
http://rs.rebipp.org.br/ppicv/values/version/si001-2021-12-03,si001
http://rs.rebipp.org.br/ppicv/values/version/si002-2021-12-03,si002
http://rs.rebipp.org.br/ppicv/values/version/si003-2021-12-03,si003
http://rs.rebipp.org.br/ppicv/values/version/si004-2021-12-03,si004
